UT,PY,LA,DT,TI,DE,ID,AB
WOS:001497103900001,2025,English,Article,Projecting rice water footprint for different shared socioeconomic pathways under arid climate conditions,,IRRIGATION STRATEGIES; GRAIN-YIELD; CROPS; MODEL; TEMPERATURE; SCENARIOS; IMPACTS; STRESS; MAIZE; WHEAT,"Climate change would intensify water and food scarcity in arid regions. As a main cereal crop, projecting rice water consumption and yield responses to climate change is crucial for improving water management and ensuring food security. This study projected the effect of climate change on rice yield (Y), evapotranspiration (ET), and total water footprint (WFT) in Damietta, Egypt, under two Shared Socioeconomic Pathways (SSPs): 2-4.5 and 5-8.5. First, five global climate models (GCMs) were evaluated for their accuracy in capturing the baseline temperatures (T) and precipitation (Pr) under the SSPs scenarios. Then, AquaCrop-GIS, integrated with ensemble downscaled GCMs data, was used to project the future climate change impacts on rice Y, ET, and WFT under a 3-day irrigation frequency regime (3IF) and two SSPs and CO2 emission scenarios during 2021-2099. Results indicated that GCMs accurately predicted climate variables during the baseline. Without CO2 effect, Y would slightly increase (1.07%-3.03%) during the 2030s and 2050s but significantly decline (4.55%-18.94%) during the 2070s and 2090s under the SSPs scenarios. However, with CO2 effect, Y would significantly increase (14.19%-28.31%) during 2021-2099. Projected ET would decline (1.42%-18.98%) under the SSPs and CO2 scenarios over time. Meanwhile, without CO2 effect, the WFT would increase by 2.88% to 17.13% during the 2070s and 2090s. However, with CO2 effect, the WFT would decrease significantly (15.45%-34.50%) under the SSPs scenarios during the future periods. The findings help growers and policymakers develop effective water management strategies for agricultural sustainability in arid regions."
WOS:001486941000001,2025,English,Article,A novel assessment framework for colored-water footprint inequality in China,Colored-water footprint; Inequality; Gini coefficient; Imbalance index; Primacy Index,INPUT-OUTPUT-ANALYSIS; RICE; TRADE; CROPS; GREEN; BLUE,"This study establishes a novel model capable of diagnosing the inequality of China's colored-water footprint (CWF) allocation through a multi-dimensional perspective for the years 2012, 2015, and 2017. The results indicate the following: (1) The grey water footprint (WFgrey) exceeds both the blue water footprint (WFblue) and the green water footprint (WFgreen). Provinces with higher CWF values are primarily located in the central, eastern, and southern geographical regions of China. (2) Provinces with substantial CWF outflow are primarily those with high GDP or extensive agricultural production, such as Jiangsu, Guangdong, Shandong, Henan, Zhejiang, and Sichuan. The sectors contributing most to net CWF outflows are agriculture and industry. (3) Although the Gini coefficients for CWF and socio-economic factors all remain below the warning threshold of 0.4, the Imbalance indices deviate significantly from the absolute balance line in most provinces, except for the WFgreen-population. Additionally, the Gini coefficient of water stress index (WSI) (0.608 similar to 0.703) is substantially higher than that of CWF (0.000 similar to 0.327). (4) The CWF Primacy Index for all provinces is significantly below the ideal level, indicating a polycentric spatial structure for CWF distribution across China. These findings offer valuable scientific insights for informing equitable CWF distribution strategies."
WOS:001510728600001,2025,English,Article,"Assessing climate change impacts on water footprint of crop production and crop yield: a case study of the Wu River basin, Taiwan☆",SWAT model; Climate change; Crop yield; Water footprint,RICE; SWAT; AGRICULTURE; PERFORMANCE; REDUCTION; CATCHMENT; SCARCITY; DEMAND; SOIL,"Evaluating the water footprint of crop production is crucial for achieving sustainable agriculture and efficient water resource allocation in the watershed, particularly in the context of climate change. This study leverages the SWAT model and AR5 climate scenario data to simulate crop water consumption, grey water demand, and crop yield variations under the RCP8.5 scenario for the late 21st century in the Wu River basin, Taiwan. The findings reveal a 1-7% decrease in blue-green water consumption, alongside a significant increase in grey water demand (33-63% for nitrate nitrogen and 68-113% for total phosphorus). Variation in rainfall patterns impact blue-green water consumption and directly affect crop yields, with projected reductions averaging 18% for rice, 41% for sweet potatoes, and 45% for oranges. The blue-green water footprint of paddy fields in the region is already six times the global average and 1.8 times that of irrigated regions worldwide. Under climate change scenarios, the blue-green water footprints of rice, sweet potatoes, and oranges are projected to increase by 122%, 154%, and 196%, respectively. This research highlights sustainable agricultural practices for Taiwan and beyond, emphasizing the need to address rising nutrient grey water demand from extreme rainfall. It recommends alternative crops or reduced phosphorus fertilizer use to mitigate agriculture's environmental impact, ensuring sustainable development in the Wu River basin and similar regions globally."
WOS:001431087400001,2025,English,Article,The Water-Soil Resource Matching Pattern of Grain Crops in the North China Plain from the Perspective of the Physical Water-Water Footprint,grain; physical water; water footprint; land footprint; water-soil matching pattern; North China Plain,CLIMATE-CHANGE; TRANSITION; TRANSFERS; IMPACTS; DEMAND; STRESS,"The agricultural water-soil matching coefficient is a key factor for reflecting regional grain production status, which can be used to evaluate the reasonableness of water-soil allocation in certain areas. Taking the North China Plain (NCP) as the study area, in this study, we constructed a framework from a ""physical water-water footprint"" standpoint. The binary matching characteristics of ""water-soil-grain"" were then analyzed, and the water-soil matching coefficient method was employed to evaluate the pattern of water-soil matching for the years 1984, 1998, 2003, and 2022. Through the perspective of physical water-water footprint coupling, field trials of grain were utilized to calculate the range of water-soil matching coefficients under high yields. The results showed the following: (1) From 1949 to 2022, the grain yield and planting areas increased. Wheat, the dominant crop, required substantial irrigation. Precipitation, cultivated land, and irrigation water exhibited spatial mismatches over the last ten years. (2) The total water footprint showed an increasing trend, and the blue water footprint accounted for 19.47%. The spatial distribution of the water and land footprints of grain crops largely overlapped, and their values were higher in the central and southern regions, and lower in the north. (3) The current water-soil matching coefficient was in the range of [0.28, 1.75], which fell outside the optimal range of [0.534, 0.724]. The soil-water matching coefficients of wheat and rice were overall higher than those of other crops. We found higher values in the southwestern region and lower values in the northern areas, which aligns with the boundary of the groundwater funnel area. To address the identified challenges, we recommend implementing a tiered regulatory zone system based on the matching coefficient. The government should encourage a reduction in water-intensive crops like wheat and rice in high-value regions by providing subsidies. Additionally, a monitoring mechanism for water and soil compatibility should be established, considering the specific growth requirements of various crops."
WOS:001619389300003,2025,English,Article,Irrigation and percolation management for reducing water footprint and nutrient leaching in rice-based ecosystems,Water reuse; Rice water footprint; Nitrogen leaching; Phosphorus leaching; Ponding irrigation,LOWLAND RICE; DRYING IRRIGATION; CROPPING SYSTEMS; RUNOFF LOSSES; PADDY FIELDS; YIELD; PRODUCTIVITY; NITROGEN; GROWTH; EFFICIENCY,"Inefficient water management can lead to water and nutrient losses in rice cultivation, causing economic and environmental challenges. This study evaluated the effects of irrigation and percolation management on nutrient leaching, rice yield, and water footprint using field lysimeters during the Aman (wet) and Boro (dry) seasons in Mymensingh, Bangladesh. Irrigation treatments included zero ponding (saturated soil), 2-cm ponding, and 5-cm ponding, while percolation management involved uncontrolled percolation, reuse of percolated water, and no percolation. Leachate samples collected every 10 d were analyzed for mineral nitrogen and available phosphorus, with yield and water use measurements. The zero ponding treatment yielded lower water footprints in the Aman and Boro seasons (1 224 L/kg and 1 289 L/kg, respectively) than the 2-cm ponding (1 252 L/kg and 1 662 L/kg, respectively) and 5-cm ponding (1 360 L/kg and 1 953 L/kg, respectively) treatments, with comparable grain yields. The no-percolation treatment increased tiller count in the Aman season but had no significant effect in the Boro season. The uncontrolled percolation treatment resulted in total percolated water depths of 10-13 cm and 20-21 cm in the Aman and Boro seasons, respectively. The no-percolation treatment led to lower water footprints (1 224-1 289 L/kg) than the uncontrolled percolation (1 409-1 706 L/kg) and percolation-reuse (1 448-1 516 L/kg) treatments. Percolation reuse reduced phosphorus leaching in the Aman season, lowered NH+4-N leaching late in the Boro season, and decreased NO 3-N leaching in multiple events compared to uncontrolled percolation. These findings inform improved water and nutrient management strategies in rice ecosystems for enhanced sustainability. (c) 2025 Hohai University. Published by Elsevier B.V. This is an open access article under the CC BY license (http://creativecommons.org/ licenses/by/4.0/)."
WOS:001585827900001,2025,English,Article,Unveiling the future water footprint of paddy cultivation: evidence from a humid tropical country,paddy; water footprint forecasting; CROPWAT; LARS-WG,LARS-WG; RAINFALL; CROPS,"Climate-water-agriculture interactions exist in a dynamic way and present increasing challenges due to climate change effects. Water scarcity emerges as a critical problem as it may reduce agricultural output and threatening future food availability. Water resource planning has become critical to ensure sustainable agricultural development. The water footprint (WF) concept evaluates agricultural water consumption by dividing it into blue, green and grey components to provide a complete assessment of water usage for agricultural decision-making. The water needs of paddy cultivation are particularly high which makes it vulnerable to climate changes. This study aims to predict future WF of paddy in Malaysia's main rice-growing regions (Kedah and Kelantan) considering off-season (S1) and main season (S2). LARS-WG weather generator used to produce simulated future climate variables. The estimated WF components were determined through CROPWAT and Water Footprint Assessment Manual after applying the projected climate variables. The projection indicates a rise in temperatures and irregular patterns of precipitation distribution. Until the year 2040, the projections indicate that S1 will exhibit a greater WF than S2 except for the case of Kedah during S2. All models forecast green > grey > blue for both seasons except for Kelantan in S1, where it is also green > blue > grey. Adequate rainfall can reduce irrigation demand, thus lowering the blue WF. Optimizing the frequency and amount of fertiliser application offers potential to reduce the grey WF component. These insights support future planning for climate-resilient and water-efficient paddy cultivation."
WOS:001481972100001,2025,English,Article,"The effect of irrigation practices on stress-related physiological characteristics, water productivity, and water footprint in rice cultivation",Plant physiology; Water productivity; Water footprint; Alternate wetting and drying; Saturated soil irrigation; SDG 6: Clean water and sanitation,DROUGHT STRESS; CHLOROPHYLL FLUORESCENCE; STOMATAL CONDUCTANCE; OXIDATIVE STRESS; PHOTOSYNTHETIC PIGMENTS; C-3 PLANTS; WHEAT; TOLERANCE; YIELD; MECHANISMS,"Water plays a critical role in rice cultivation, a major export commodity in Thailand, especially under climate-induced drought conditions. This study evaluated the impact of three irrigation practices-continuous flooding (CF), alternate wetting and drying (AWD), and saturated soil irrigation (SSI)-on physiological parameters and water usage in paddy fields. The results showed no significant differences in physiological traits such as stomatal conductance (g(sw)), leaf temperature (T-leaf), chlorophyll fluorescence (F-s), quantum yield (Phi(PsII)), osmolality, and MDA content. However, water consumption differed notably: in the first crop season, CF, SSI, and AWD used 9,931, 7,106, and 7338 m(3)/ha, respectively, while in the second season, usage was 9,427, 5,746, and 5794 m(3)/ha. Grain yield remained similar across treatments: 4.13, 4.03, and 4.08 tons/ha in the first crop season, and 4.21, 4.23, and 4.66 tons/ha in the second crop season for CF, SSI, and AWD, respectively. Water productivity (WPIR) for CF, SSI, and AWD was 0.42, 0.57, and 0.56 kg m(-3) in the first crop season and 0.45, 0.74, and 0.80 kg m(-3) in the second crop season. The consumptive water footprint (WFconsumption) also varied, with values of 2,607, 1,976, and 2007 m(3)/ton in the first crop season and 2,431, 1,549, and 1401 m(3)/ton in the second crop season, with the highest in the direct blue water footprint category. AWD and SSI significantly increased water productivity. The study underscores the potential of physiological data as a tool to inform sustainable on-farm irrigation strategies. The integration of such practices could contribute to climate-resilient and resource-efficient rice production systems."
WOS:001607893200006,2025,English,Article,Optimization of cropping structure of staple crops and benefit evaluation based on carbon-water footprint in the black soil region of Northeast China,Multi-objective optimization; Carbon footprint; Water footprint; Eco-efficiency; Crop layout,DEMAND,"As climate change and population growth exacerbate ecological crises, sustainable agricultural management is essential to mitigate food security risks. Optimizing cropping structures by balancing economic, social, and ecological benefits based on carbon and water footprints has emerged as a critical pathway in achieving climate-resilient agriculture. However, existing multi-objective optimization models and evaluation methods often produce multiple optimization solutions due to non-linearity and high dimensionality or are limited by issues such as the autocorrelation of input indicators, which can hinder the derivation of sufficiently optimized outcomes. To address these challenges, this study focuses on the black soil region of Northeast China, one of the country's most important grain production bases. For the first time, we have introduced the combination of the NSGA-III genetic optimization algorithm with the entropy weight-TOPSIS method. This approach aims to screen the optimized solution set and determine the optimal cropping structure scheme at the municipal scale within the study region, thereby providing a robust framework for decision-making that supports sustainable agricultural development. The results showed that rice had the highest carbon footprint followed by soybean and maize. Major contributors to carbon emissions in the study region were methane from paddy fields, straw burning, and nitrogen fertilizer input with respective contribution rates of 24.72 %, 23.30 %, and 17.41 %. Soybean had the highest water footprint followed by maize and rice, with green water dominating the major component. After optimization, the area under cultivation in the central part of the study area will increase by at least 12.96 x 104 ha, while the area under cultivation in the northern part will decrease by 119.33 x 104 ha. The planting areas of maize and rice will decrease by about 11.87 x 104 ha and 6.37 x 104 ha, respectively, while the planting area of soybean will increase by about 8.84 x 103 ha. The study provides a decision-making basis for optimizing the cropping structure in the black soil region of Northeast China, facilitating the promotion of sustainable agricultural production and the development of climate-smart agriculture."
WOS:001326740600001,2024,English,Article,"Urban water footprint in Mashhad, Iran's second largest city",Direct water footprint; north-eastern Iran; total water footprint; virtual water footprint; water scarcity,FOOD-CONSUMPTION; CHALLENGES; SECURITY; CHINA,"The water footprint (WF) is a metric used to quantify the total volume of fresh water consumed directly and indirectly by individuals and communities; it helps to inform responses to global challenges such as water scarcity, climate change and sustainable water management. This study assessed virtual (VWF), direct (DWF) and total (TWF) water footprints in Mashhad, Iran's second largest city. Data collected from 382 households showed that the average individual VWF was 1314 m3 per month, the average individual DWF was 228 m3 per month and the average individual TWF was 1538 m3 per month. Additionally, key consumption patterns were identified, with rice and bread emerging as the most consumed items and vegetables as the least consumed. Over a 5-year period, direct water use declined. Significant correlations emerged between family size, annual cost and VWF and TWF, yet no association was found between age and the WFs. There were income-based disparities in VWF and TWF but no differences across education levels in terms of DWF, VWF and TWF. These findings offer crucial insights for policymakers and water authorities in formulating effective water-saving policies to address pressing environmental concerns."
WOS:001356821000001,2024,English,Article,Impact of forest cover and human intervention on crop water footprint,blue water footprint; consumptive water footprint; Cropwat 8.0 model; green water footprint; water footprint; white water footprint,VARIABILITY; ENSO; TOOL,"Water, the most needed substance, is declining alarmingly worldwide. This huge water consumption is due to the increasing population and rapid unsystematic urbanization. Water footprint (WF) is an indicator used to understand water consumption, whether it is visible or invisible. Water is majorly consumed in the agricultural sector. This study estimated the crop WF of rice in two urban districts, Ranchi, and Dhanbad, and two forest-covered districts, Palamu and Hazaribagh, of Jharkhand. The study was done for the paddy (rice) crop from 2000 to 2017 through the Cropwat 8.0 model. Ranchi and Dhanbad showed a decrease in consumptive crop WF (WFconsumptive) of rice i.e., 39.92 and 48.29%, respectively, during the study period, whereas Palamu and Hazaribagh showed a comparatively lower decrease with 24.12 and 23.45%, respectively. All four districts experienced lower WFblue than WFgreen. Ranchi is suggested to cultivate rice through rainfed agriculture due to higher WFgreen, good rainfall, and the lowest average WFblue with 167 m(3)/ton throughout the study period. This study also suggests preparing a proper data management system to calculate white WF at a regional and global level to reduce irrigation loss and achieve sustainable water management goals."
