UT,PY,DI,TI,DE,ID
WOS:001497103900001,2025,10.1007/s00271-025-01019-8,Projecting rice water footprint for different shared socioeconomic pathways under arid climate conditions,,IRRIGATION STRATEGIES; GRAIN-YIELD; CROPS; MODEL; TEMPERATURE; SCENARIOS; IMPACTS; STRESS; MAIZE; WHEAT
WOS:001486941000001,2025,10.1016/j.ecolind.2025.113350,A novel assessment framework for colored-water footprint inequality in China,Colored-water footprint; Inequality; Gini coefficient; Imbalance index; Primacy Index,INPUT-OUTPUT-ANALYSIS; RICE; TRADE; CROPS; GREEN; BLUE
WOS:001510728600001,2025,10.1016/j.ecolind.2025.113739,"Assessing climate change impacts on water footprint of crop production and crop yield: a case study of the Wu River basin, Taiwan☆",SWAT model; Climate change; Crop yield; Water footprint,RICE; SWAT; AGRICULTURE; PERFORMANCE; REDUCTION; CATCHMENT; SCARCITY; DEMAND; SOIL
WOS:001431087400001,2025,10.3390/land14020295,The Water-Soil Resource Matching Pattern of Grain Crops in the North China Plain from the Perspective of the Physical Water-Water Footprint,grain; physical water; water footprint; land footprint; water-soil matching pattern; North China Plain,CLIMATE-CHANGE; TRANSITION; TRANSFERS; IMPACTS; DEMAND; STRESS
WOS:001619389300003,2025,10.1016/j.wse.2025.09.004,Irrigation and percolation management for reducing water footprint and nutrient leaching in rice-based ecosystems,Water reuse; Rice water footprint; Nitrogen leaching; Phosphorus leaching; Ponding irrigation,LOWLAND RICE; DRYING IRRIGATION; CROPPING SYSTEMS; RUNOFF LOSSES; PADDY FIELDS; YIELD; PRODUCTIVITY; NITROGEN; GROWTH; EFFICIENCY
WOS:001585827900001,2025,10.1088/2515-7620/ae0982,Unveiling the future water footprint of paddy cultivation: evidence from a humid tropical country,paddy; water footprint forecasting; CROPWAT; LARS-WG,LARS-WG; RAINFALL; CROPS
WOS:001481972100001,2025,10.1016/j.indic.2025.100695,"The effect of irrigation practices on stress-related physiological characteristics, water productivity, and water footprint in rice cultivation",Plant physiology; Water productivity; Water footprint; Alternate wetting and drying; Saturated soil irrigation; SDG 6: Clean water and sanitation,DROUGHT STRESS; CHLOROPHYLL FLUORESCENCE; STOMATAL CONDUCTANCE; OXIDATIVE STRESS; PHOTOSYNTHETIC PIGMENTS; C-3 PLANTS; WHEAT; TOLERANCE; YIELD; MECHANISMS
WOS:001607893200006,2025,10.1016/j.agwat.2025.109898,Optimization of cropping structure of staple crops and benefit evaluation based on carbon-water footprint in the black soil region of Northeast China,Multi-objective optimization; Carbon footprint; Water footprint; Eco-efficiency; Crop layout,DEMAND
WOS:001326740600001,2024,10.1017/S0376892924000195,"Urban water footprint in Mashhad, Iran's second largest city",Direct water footprint; north-eastern Iran; total water footprint; virtual water footprint; water scarcity,FOOD-CONSUMPTION; CHALLENGES; SECURITY; CHINA
WOS:001356821000001,2024,10.2166/wcc.2024.692,Impact of forest cover and human intervention on crop water footprint,blue water footprint; consumptive water footprint; Cropwat 8.0 model; green water footprint; water footprint; white water footprint,VARIABILITY; ENSO; TOOL
WOS:001397601300001,2025,10.1016/j.agwat.2024.109269,A comparative assessment of grey water footprint estimation methods in paddy fields,Drainage water; HYDRUS-2D; Nitrogen; Subsurface drainage; Tier-1 approach,SAVING IRRIGATION STRATEGIES; SUBSURFACE DRAINAGE; USE EFFICIENCY; DRYING IRRIGATION; SIMULATION-MODEL; CROP PRODUCTION; NITROGEN FATE; MAIZE; SOIL; DYNAMICS
